person_home_ownership,loan_intent,loan_grade,person_age,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length,person_income,person_emp_length,cb_person_default_on_file
RENT,PERSONAL,D,22,35000,16.02,1,0.59,3,59000,123,Y
OWN,EDUCATION,B,21,1000,11.14,0,0.1,2,9600,5,N
MORTGAGE,MEDICAL,C,25,5500,12.87,1,0.57,3,9600,1,N
RENT,MEDICAL,C,23,35000,15.23,1,0.53,2,65500,4,N
RENT,MEDICAL,C,24,35000,14.27,1,0.55,4,54400,8,Y
OWN,VENTURE,A,21,2500,7.14,1,0.25,2,9900,2,N
RENT,EDUCATION,B,26,35000,12.42,1,0.45,3,77100,8,N
RENT,MEDICAL,B,24,35000,11.11,1,0.44,4,78956,5,N
RENT,PERSONAL,A,24,35000,8.9,1,0.42,2,83000,8,N
OWN,VENTURE,D,21,1600,14.74,1,0.16,3,10000,6,N
RENT,VENTURE,B,22,35000,10.37,1,0.41,4,85000,6,N
OWN,HOMEIMPROVEMENT,A,21,4500,8.63,1,0.45,2,10000,2,N
RENT,VENTURE,A,23,35000,7.9,1,0.37,2,95000,2,N
RENT,EDUCATION,E,26,35000,18.39,1,0.32,4,108160,4,N
RENT,EDUCATION,A,23,35000,7.9,0,0.3,4,115000,2,N
MORTGAGE,DEBTCONSOLIDATION,B,23,30000,10.65,0,0.06,3,500000,7,N
RENT,EDUCATION,A,23,35000,7.9,0,0.29,4,120000,0,N
RENT,MEDICAL,F,23,35000,20.25,1,0.32,4,92111,7,N
RENT,DEBTCONSOLIDATION,D,23,35000,18.25,1,0.31,4,113000,8,N
MORTGAGE,EDUCATION,B,24,1750,10.99,1,0.16,2,10800,8,N
RENT,VENTURE,A,25,35000,7.49,0,0.22,4,162500,2,N
RENT,PERSONAL,E,25,34800,16.77,0,0.25,2,137000,9,Y
RENT,EDUCATION,D,22,34000,17.58,1,0.52,4,65000,4,N
OWN,PERSONAL,A,24,1500,7.29,0,0.14,3,10980,0,N
RENT,PERSONAL,D,22,33950,14.54,1,0.42,4,80000,3,Y
RENT,HOMEIMPROVEMENT,C,24,33000,12.68,1,0.49,3,67746,8,N
MORTGAGE,VENTURE,E,21,4575,17.74,1,0.42,3,11000,3,Y
OWN,PERSONAL,A,23,1400,9.32,0,0.13,3,11000,0,N
RENT,HOMEIMPROVEMENT,B,24,32500,9.99,1,0.5,3,65000,6,N
OTHER,EDUCATION,C,21,4000,12.84,1,0.35,2,11389,5,Y
OWN,MEDICAL,B,21,2000,11.12,1,0.17,3,11520,5,N
RENT,VENTURE,A,25,32000,6.62,0,0.27,2,120000,2,N
RENT,HOMEIMPROVEMENT,C,26,31050,14.17,1,0.33,3,95000,7,Y
RENT,DEBTCONSOLIDATION,C,25,24250,13.85,0,0.08,3,306000,2,N
MORTGAGE,MEDICAL,C,26,7800,13.49,0,0.03,4,300000,10,N
OWN,EDUCATION,A,21,2500,7.51,1,0.21,4,12000,5,N
RENT,EDUCATION,E,22,30000,18.39,1,0.63,2,48000,1,N
RENT,DEBTCONSOLIDATION,D,24,30000,14.54,1,0.47,3,64000,8,Y
RENT,HOMEIMPROVEMENT,D,25,30000,16.89,1,0.4,4,75000,4,Y
RENT,DEBTCONSOLIDATION,D,23,30000,0,1,0.42,4,71500,3,N
RENT,MEDICAL,E,26,30000,17.99,1,0.41,2,62050,6,N
OWN,VENTURE,B,24,2500,12.69,1,0.21,3,12000,4,N
MORTGAGE,VENTURE,A,26,20000,7.88,0,0.07,4,300000,10,N
OWN,EDUCATION,F,23,24250,19.41,0,0.08,2,300000,1,Y
OWN,HOMEIMPROVEMENT,B,26,10000,10.38,0,0.03,4,300000,9,N
MORTGAGE,EDUCATION,D,26,25000,15.33,0,0.08,3,300000,0,N
MORTGAGE,HOMEIMPROVEMENT,E,25,18000,16.45,0,0.06,3,300000,9,N
RENT,PERSONAL,A,26,30000,7.49,1,0.37,3,80690,8,N
RENT,MEDICAL,B,22,30000,12.69,1,0.38,3,66300,4,N
RENT,DEBTCONSOLIDATION,A,26,30000,6.62,1,0.34,3,89028,0,N
RENT,DEBTCONSOLIDATION,D,24,30000,0,1,0.38,4,78000,4,Y
RENT,DEBTCONSOLIDATION,F,23,30000,18.62,1,0.38,3,78000,7,Y
RENT,PERSONAL,C,23,30000,15.23,1,0.33,3,92004,6,Y
RENT,VENTURE,B,23,30000,10.65,1,0.31,2,97000,7,N
RENT,EDUCATION,A,25,30000,7.9,0,0.25,4,120000,9,N
RENT,PERSONAL,C,26,10000,15.96,0,0.04,3,280000,4,Y
RENT,VENTURE,B,26,20000,11.48,0,0.07,3,277104,0,N
OWN,PERSONAL,A,23,35000,0,0,0.13,4,277000,3,N
RENT,PERSONAL,A,25,30000,7.29,0,0.23,4,128000,9,N
OWN,VENTURE,E,24,1750,0,0,0.15,3,12000,2,Y
RENT,VENTURE,A,21,30000,5.99,0,0.23,4,131000,0,N
OWN,VENTURE,B,22,12000,11.58,0,0.04,2,275000,6,N
MORTGAGE,EDUCATION,B,26,10000,0,1,0.04,4,263000,0,N
MORTGAGE,MEDICAL,D,25,25000,15.7,1,0.1,2,221850,9,N
RENT,EDUCATION,D,22,29100,15.99,1,0.42,3,70000,6,N
MORTGAGE,EDUCATION,D,22,1500,14.84,0,0.13,3,12000,7,Y
OWN,HOMEIMPROVEMENT,B,26,28000,10.99,0,0.11,3,260000,10,N
MORTGAGE,HOMEIMPROVEMENT,D,25,20000,14.42,0,0.08,2,259000,9,Y
MORTGAGE,EDUCATION,A,24,9600,6.99,0,0.04,2,255000,9,N
RENT,MEDICAL,C,25,25000,13.49,0,0.1,4,250000,2,N
OWN,MEDICAL,C,25,3000,0,1,0.25,3,12000,0,N
RENT,MEDICAL,A,22,28000,0,1,0.49,2,56950,6,N
OWN,EDUCATION,C,21,3000,13.61,1,0.25,3,12000,6,Y
RENT,EDUCATION,A,23,28000,7.9,1,0.43,2,65000,2,N
RENT,VENTURE,A,26,28000,7.49,1,0.33,3,85000,2,N
OWN,EDUCATION,A,26,6100,7.51,1,0.51,3,12000,2,N
RENT,VENTURE,B,22,28000,9.91,1,0.32,3,88000,6,N
OWN,PERSONAL,C,21,4200,13.48,1,0.35,4,12000,0,Y
OWN,DEBTCONSOLIDATION,A,22,4750,7.14,1,0.4,2,12000,6,N
RENT,VENTURE,D,24,28000,15.99,1,0.34,4,83004,0,Y
RENT,EDUCATION,C,24,18000,12.98,0,0.07,3,250000,2,Y
RENT,VENTURE,C,144,4800,13.57,0,0.02,3,250000,4,N
RENT,DEBTCONSOLIDATION,B,25,28000,12.69,0,0.28,3,100000,5,N
RENT,EDUCATION,A,26,28000,8.9,0,0.25,2,110000,10,N
OWN,DEBTCONSOLIDATION,A,26,2700,0,1,0.23,4,12000,0,N
RENT,EDUCATION,B,22,28000,0,1,0.26,4,108000,6,N
RENT,DEBTCONSOLIDATION,B,23,28000,11.11,0,0.19,2,151200,7,N
RENT,HOMEIMPROVEMENT,A,24,27600,0,1,0.4,2,69000,2,N
MORTGAGE,DEBTCONSOLIDATION,E,21,3250,15.68,1,0.27,3,12000,5,Y
RENT,EDUCATION,C,22,27500,13.06,1,0.39,3,70000,4,Y
OWN,PERSONAL,B,22,25000,0,0,0.1,2,240000,6,N
RENT,VENTURE,D,26,27050,15.62,1,0.37,2,73200,5,Y
RENT,PERSONAL,C,24,27000,13.49,1,0.33,2,83000,5,Y
RENT,VENTURE,D,24,27000,0,1,0.37,3,73399,0,N
RENT,MEDICAL,B,23,26000,11.71,1,0.42,2,62500,7,N
RENT,EDUCATION,B,23,25600,12.69,0,0.21,3,120000,1,N
OWN,MEDICAL,C,24,1600,13.57,0,0.13,3,12360,2,N
RENT,VENTURE,B,22,25475,10.99,1,0.42,3,60000,0,N
MORTGAGE,MEDICAL,C,25,20000,14.27,0,0.09,4,234000,3,Y
OWN,HOMEIMPROVEMENT,B,24,20000,8.88,0,0.09,4,234000,8,N
MORTGAGE,HOMEIMPROVEMENT,B,26,21600,12.18,0,0.09,3,234000,10,N
MORTGAGE,DEBTCONSOLIDATION,D,25,11900,14.42,1,0.05,3,221004,6,Y
MORTGAGE,MEDICAL,C,26,25000,14.17,0,0.11,2,232500,0,Y
MORTGAGE,MEDICAL,C,25,35000,13.99,0,0.15,4,230000,5,N
RENT,EDUCATION,B,23,25300,10.99,1,0.3,3,83000,7,N
MORTGAGE,PERSONAL,A,22,2000,5.42,1,0.16,4,12600,0,N
OWN,PERSONAL,C,25,1750,13.61,0,0.14,3,12600,3,N
RENT,EDUCATION,C,21,25000,12.73,1,0.59,3,42500,3,Y
RENT,HOMEIMPROVEMENT,D,24,25000,0,1,0.61,3,41000,2,N
OWN,DEBTCONSOLIDATION,C,25,3000,12.87,1,0.23,4,12816,0,Y
MORTGAGE,HOMEIMPROVEMENT,B,24,3650,9.91,1,0.28,3,12960,1,N
MORTGAGE,HOMEIMPROVEMENT,B,26,20000,11.49,0,0.09,4,226000,4,N
MORTGAGE,HOMEIMPROVEMENT,E,25,30000,19.91,0,0.13,2,225000,0,Y
MORTGAGE,EDUCATION,B,26,35000,10.65,1,0.16,2,213000,6,N
RENT,MEDICAL,B,24,6000,0,0,0.03,4,225000,0,N
MORTGAGE,DEBTCONSOLIDATION,B,24,4500,11.83,1,0.35,4,12960,0,N
OWN,DEBTCONSOLIDATION,C,23,2400,13.49,1,0.18,2,12996,0,Y
RENT,MEDICAL,D,22,25000,14.59,1,0.6,2,42000,6,Y
RENT,EDUCATION,B,26,25000,9.64,1,0.52,4,48000,2,N
OWN,MEDICAL,D,25,3600,14.59,1,0.28,3,12996,1,N
OWN,EDUCATION,B,22,4750,0,1,0.37,3,12996,1,N
RENT,EDUCATION,E,25,25000,16.35,1,0.59,3,42360,1,Y
RENT,EDUCATION,B,21,25000,10.99,1,0.51,2,49000,4,N
MORTGAGE,VENTURE,F,25,25000,18.67,0,0.11,2,225000,0,N
RENT,EDUCATION,A,26,3000,9.32,0,0.01,4,225000,1,N
RENT,DEBTCONSOLIDATION,A,23,7500,8.63,0,0.03,2,225000,8,N
MORTGAGE,VENTURE,B,26,25000,10.08,0,0.11,2,225000,2,N
RENT,PERSONAL,B,22,25000,11.83,1,0.51,3,49464,5,N
RENT,DEBTCONSOLIDATION,A,23,25000,7.9,1,0.5,3,50000,1,N
RENT,HOMEIMPROVEMENT,A,25,25000,5.99,1,0.5,2,50000,4,N
RENT,DEBTCONSOLIDATION,D,24,25000,15.33,1,0.57,2,44000,2,N
RENT,VENTURE,B,23,25000,11.83,1,0.5,4,50000,1,N
RENT,VENTURE,B,22,25000,10.36,1,0.5,2,50004,0,N
RENT,VENTURE,C,22,25000,12.23,1,0.5,3,50004,3,N
RENT,EDUCATION,B,22,25000,11.11,1,0.48,4,52000,2,N
OWN,DEBTCONSOLIDATION,A,23,4950,7.9,1,0.38,4,13200,3,N
MORTGAGE,EDUCATION,B,24,25000,11.58,0,0.11,2,220000,1,N
MORTGAGE,DEBTCONSOLIDATION,A,23,21000,8.9,0,0.1,3,216000,5,N
MORTGAGE,EDUCATION,D,25,25000,16.07,0,0.12,3,216000,2,N
MORTGAGE,EDUCATION,C,26,20000,14.22,0,0.09,2,216000,10,Y
MORTGAGE,MEDICAL,C,23,35000,14.79,0,0.16,3,215000,7,Y
MORTGAGE,EDUCATION,A,26,12000,7.88,0,0.06,2,215000,11,N
RENT,PERSONAL,C,23,25000,13.22,1,0.48,2,52000,1,N
RENT,DEBTCONSOLIDATION,D,26,25000,11.86,1,0.54,4,46000,2,N
RENT,EDUCATION,C,22,25000,13.43,1,0.47,4,53000,5,Y
RENT,HOMEIMPROVEMENT,D,26,25000,15.28,1,0.53,2,47000,0,Y
RENT,VENTURE,E,23,25000,17.93,1,0.53,2,47000,1,N
MORTGAGE,EDUCATION,B,23,1400,9.25,0,0.11,4,13200,2,N
OWN,VENTURE,C,21,4500,12.98,1,0.34,4,13200,0,N
MORTGAGE,VENTURE,B,22,16000,10.62,0,0.08,4,210000,6,N
OWN,PERSONAL,B,26,22000,11.83,0,0.1,4,210000,10,N
RENT,VENTURE,F,26,25000,18.43,1,0.52,2,48000,5,N
RENT,EDUCATION,B,22,25000,0,1,0.45,4,54996,6,N
RENT,HOMEIMPROVEMENT,D,24,25000,0,1,0.45,4,55000,4,Y
RENT,EDUCATION,B,23,25000,11.36,1,0.45,3,55000,4,N
RENT,EDUCATION,D,23,25000,15.65,1,0.45,3,55000,4,Y
